우선순위,관리번호,정류장명,한낮승차,로드뷰URL,그늘,의자,조명,도착안내기,촬영시점(YYYY.MM),조사자,비고
1,250026567,강촌역,359,"https://map.kakao.com/link/roadview/37.80629,127.6343",,,,,,,
2,257800106,용골상회,219,"https://map.kakao.com/link/roadview/37.69151,127.67979",,,,,,,
3,257800107,용골상회,219,"https://map.kakao.com/link/roadview/37.69125,127.6799",,,,,,,
4,250026903,강원대중앙도서관,194,"https://map.kakao.com/link/roadview/37.8711,127.74415",,,,,,,
5,250026904,강원대중앙도서관,194,"https://map.kakao.com/link/roadview/37.87107,127.7443",,,,,,,
6,257800108,반곡망단이,192,"https://map.kakao.com/link/roadview/37.69522,127.67385",,,,,,,
7,257800109,반곡망단이,192,"https://map.kakao.com/link/roadview/37.69508,127.67378",,,,,,,
8,250026741,구곡폭포종점,154,"https://map.kakao.com/link/roadview/37.79725,127.61677",,,,,,,
9,250001725,거두1리,74,"https://map.kakao.com/link/roadview/37.86199,127.76704",,,,,,,
10,250001726,거두1리,74,"https://map.kakao.com/link/roadview/37.86208,127.76721",,,,,,,
11,250001951,폴리텍대학,58,"https://map.kakao.com/link/roadview/37.79734,127.77377",,,,,,,
12,257001453,밤벌유원지,57,"https://map.kakao.com/link/roadview/37.69205,127.69013",,,,,,,
13,257001454,밤벌유원지,57,"https://map.kakao.com/link/roadview/37.69202,127.68996",,,,,,,
14,250027125,무림정사입구,53,"https://map.kakao.com/link/roadview/37.86425,127.58285",,,,,,,
15,250027126,무림정사입구,53,"https://map.kakao.com/link/roadview/37.8642,127.58272",,,,,,,
16,250002127,한림대학교,2072,"https://map.kakao.com/link/roadview/37.88355,127.7384",,,,,,,
17,265000872,장학교차로,1720,"https://map.kakao.com/link/roadview/37.89256,127.7556",,,,,,,
18,250002198,산천1리,42,"https://map.kakao.com/link/roadview/37.94754,127.75226",,,,,,,
19,250002199,산천1리,42,"https://map.kakao.com/link/roadview/37.94778,127.75233",,,,,,,
20,250001749,강원대학병원,1158,"https://map.kakao.com/link/roadview/37.87484,127.74331",,,,,,,
21,250002200,산수빌A,40,"https://map.kakao.com/link/roadview/37.84752,127.76486",,,,,,,
22,257800113,역전평,39,"https://map.kakao.com/link/roadview/37.72871,127.79631",,,,,,,
