관리번호,정류장명,그늘,의자,조명,도착안내기,촬영시점(YYYY.MM),조사자,비고
250001192,대형약국,,,,,,,
250001193,산림조합강원본부,,,,,,,
250001194,산림조합강원본부,,,,,,,
250001195,발산3리,,,,,,,
250001196,금광터,,,,,,,
250001197,운전면허시험장,,,,,,,
250001198,소양강댐주차장,,,,,,,
250001199,폴리텍2캠퍼스,,,,,,,
250001200,월곡리,,,,,,,
250001201,감정리,,,,,,,
250001202,중앙로입구,,,,,,,
250001203,후평3동우체국,,,,,,,
250001204,부안주유소,,,,,,,
250001205,후평중학교,,,,,,,
250001206,후평주공7단지,,,,,,,
250001207,후평주공7단지,,,,,,,
250001208,후평주공6단지,,,,,,,
250001209,후평주공6단지,,,,,,,
250001210,후평주공5단지,,,,,,,
250001211,후평동종점,,,,,,,
250001212,후평동종점,,,,,,,
250001213,후평주공4단지후문,,,,,,,
250001214,후평주공4단지후문,,,,,,,
250001215,후평주공4단지,,,,,,,
250001216,대우A,,,,,,,
250001217,후평3동행복센터,,,,,,,
250001218,후평3동행복센터,,,,,,,
250001219,후동리,,,,,,,
250001220,후동리,,,,,,,
250001221,후동리,,,,,,,
250001222,소주고개,,,,,,,
250001223,후동리,,,,,,,
250001224,후동리,,,,,,,
265000754,해안사입구,,,,,,,
265000755,해안사입구,,,,,,,
265000706,동산면행복센터,,,,,,,
250001228,후동,,,,,,,
250001229,중부지구대,,,,,,,
250001230,중부지구대,,,,,,,
250001231,발산1리,,,,,,,
250001232,황골,,,,,,,
250001233,화목원,,,,,,,
250001234,화목원,,,,,,,
250001235,화광사,,,,,,,
250001236,화광사,,,,,,,
250001237,호반체육관,,,,,,,
250001238,우석중학교,,,,,,,
250027089,호반A,,,,,,,
250001240,호반A,,,,,,,
265000677,온의롯데캐슬,,,,,,,
250001242,춘천도매물류마트,,,,,,,
250001243,혈동2리종점,,,,,,,
250001244,혈동2리마을회관,,,,,,,
250001245,혈동2리마을회관,,,,,,,
250001246,혈동2리,,,,,,,
250001247,혈동2리,,,,,,,
250001248,혈동1리종점,,,,,,,
265000676,롯데마트춘천점,,,,,,,
265000678,고은1리4반,,,,,,,
250001251,현암리,,,,,,,
250001252,현암리,,,,,,,
250001253,현암리,,,,,,,
250001254,현암리,,,,,,,
